Global frequency set at 1000000000000 ticks per second
      0: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7ffffffffffffed0.
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 22.1.0.0
gem5 compiled Feb 22 2023 20:08:12
gem5 started Mar 15 2023 10:59:34
gem5 executing on rp09, pid 843937
command line: build/RISCV/gem5.opt --debug-flags=Registers configs/tutorial/two_level.py

64
Beginning simulation!
1554000: system.cpu.[tid:0]: Reading integer reg integer[27] (27) as 0.
1558000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1558000: system.cpu.[tid:0]: Reading integer reg integer[24] (24) as 0.
1562000: system.cpu.[tid:0]: Reading integer reg integer[19] (19) as 0x7d000.
1564000: system.cpu.[tid:0]: Setting integer register integer[26] (26) to 0.
1617000: system.cpu.[tid:0]: Reading integer reg integer[9] (9) as 0x7d000.
1619000: system.cpu.[tid:0]: Setting integer register integer[22] (22) to 0.
1621000: system.cpu.[tid:0]: Setting integer register integer[21] (21) to 0.
1625000: system.cpu.[tid:0]: Reading integer reg integer[18] (18) as 0x7d000.
1627000: system.cpu.[tid:0]: Setting integer register integer[24] (24) to 0.
1629000: system.cpu.[tid:0]: Setting integer register integer[23] (23) to 0.
1631000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1635000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1639000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1643000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1647000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1651000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1655000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
1659000: system.cpu.[tid:0]: Setting integer register integer[25] (25) to 0.
1661000: system.cpu.[tid:0]: Setting integer register integer[27] (27) to 0.
1663000: system.cpu.[tid:0]: Setting integer register integer[29] (29) to 0.
1665000: system.cpu.[tid:0]: Setting integer register integer[17] (17) to 0.
1667000: system.cpu.[tid:0]: Setting integer register integer[16] (16) to 0.
1669000: system.cpu.[tid:0]: Setting integer register integer[12] (12) to 0.
1671000: system.cpu.[tid:0]: Setting integer register integer[13] (13) to 0x1e.
1673000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x5c000.
1673000: system.cpu.[tid:0]: Setting integer register integer[14] (14) to 0x5c390.
1675000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x9.
1675000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x6.
1679000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x1e.
1679000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x6.
1681000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x6.
1681000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x18.
1683000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x18.
1683000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x5c390.
1683000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x5c3a8.
1685000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x5c3a8.
1766000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x21dc2.
1768000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x21dc2.
1821000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7ffffffffffffef0.
1821000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x7fffffffffffff00.
1827000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff00.
1880000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x5.
1882000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x5.
1884000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x5.
1884000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x2.
1888000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x1e.
1888000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x2.
1890000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x2.
1890000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x8.
1892000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x8.
1892000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x5c390.
1892000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x5c398.
1894000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x5c398.
1896000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x21f34.
1898000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x21f34.
1951000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff00.
1953000: system.cpu.[tid:0]: Setting integer register integer[22] (22) to 0x5.
1955000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff00.
1955000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x7fffffffffffff10.
1957000: system.cpu.[tid:0]: Setting integer register integer[23] (23) to 0x1.
1959000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff10.
1961000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x4.
2016000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x4.
2018000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x4.
2018000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x1.
2022000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x1e.
2022000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x1.
2024000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x1.
2024000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x4.
2026000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x4.
2026000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x5c390.
2026000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x5c394.
2028000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x5c394.
2030000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x21dc2.
2032000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x21dc2.
2034000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff10.
2034000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x7fffffffffffff20.
2036000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff20.
2038000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x3.
2040000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x3.
2042000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x3.
2042000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
2046000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x1e.
2046000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
2048000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
2048000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
2050000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
2050000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x5c390.
2050000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x5c390.
2052000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x5c390.
2054000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x21f44.
2056000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x21f44.
2058000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff20.
2060000: system.cpu.[tid:0]: Setting integer register integer[24] (24) to 0x10040.
2062000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff20.
2062000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x7fffffffffffff30.
2064000: system.cpu.[tid:0]: Setting integer register integer[25] (25) to 0x1.
2066000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff30.
2068000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x6.
2072000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x6.
2074000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x6.
2074000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x3.
2078000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x1e.
2078000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x3.
2080000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x3.
2080000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0xc.
